empresa,fecha,precio,es_imputado_kalman,rendimiento_simple,rendimiento_log,retorno_depende_imputacion,precio_original
Celsia,2020-02-06,2903.07568359375,False,0.0033187741975495566,0.003313279220830574,False,4535.0
ETB,2020-02-06,252.0,False,-0.03076923076923077,-0.031252543504104426,False,252.0
Ecopetrol,2020-02-06,1437.2440185546875,False,0.0015672691857133714,0.0015660423011014746,False,3195.0
Grupo Bolivar,2020-02-06,61600.7265625,False,0.00882739144914746,0.008788657807035213,False,80000.0
Mineros SA,2020-02-06,2980.7939453125,False,0.0031746751664285533,0.003169646525279622,False,3160.0
Nutresa,2020-02-06,20266.234375,False,0.0032001664473280123,0.0031950568129009795,False,23231.794921875
Promigas,2020-02-06,4640.4541015625,False,0.0116887137198729,0.011620928409720432,False,7790.0
Banco Davivienda PF,2020-02-07,39282.78515625,False,0.009519894474359525,0.00947486583200264,False,46660.0
Banco de Bogota,2020-02-07,55403.90234375,False,0.0,0.0,False,83409.2109375
Celsia,2020-02-07,2848.662841796875,False,-0.018743170253665786,-0.018921049658700062,False,4450.0
ETB,2020-02-07,252.0,False,0.0,0.0,False,252.0
Ecopetrol,2020-02-07,1446.2412109375,False,0.006260031189317505,0.006240518584740877,False,3215.0
Grupo Bolivar,2020-02-07,62293.71484375,False,0.01124967707234581,0.011186870055379472,False,80900.0
Mineros SA,2020-02-07,2980.7939453125,False,0.0,0.0,False,3160.0
Nutresa,2020-02-07,20492.486328125,False,0.011163985816926125,0.011102128484410709,False,23491.16015625
Promigas,2020-02-07,4467.701171875,False,-0.03722759150431676,-0.0379382310496192,False,7500.0
Banco Davivienda PF,2020-02-10,39232.26953125,False,-0.001285948152583094,-0.0012867756934344912,False,46600.0
Banco de Bogota,2020-02-10,53859.76171875,False,-0.027870611268850265,-0.028266367402294552,False,81084.5390625
Celsia,2020-02-10,2832.65869140625,False,-0.005618127268627537,-0.005633968304796732,False,4425.0
ETB,2020-02-10,252.0,False,0.0,0.0,False,252.0
Ecopetrol,2020-02-10,1446.2412109375,False,0.0,0.0,False,3215.0
Grupo Bolivar,2020-02-10,62755.72265625,False,0.00741660396492394,0.0073892361917241665,False,81500.0
Mineros SA,2020-02-10,2999.658935546875,False,0.00632884747502982,0.006308904419988861,False,3180.0
Nutresa,2020-02-10,20056.130859375,False,-0.02129343710485354,-0.021523412845712096,False,22990.955078125
Promigas,2020-02-10,4634.49658203125,False,0.03733360933051166,0.03665358371211801,False,7780.0
Banco Davivienda PF,2020-02-11,39013.375,False,-0.005579451147368464,-0.005595074424897747,False,46340.0
Banco de Bogota,2020-02-11,54020.32421875,False,0.002981121617998239,0.0029766868864109885,False,81326.3046875
Celsia,2020-02-11,2826.257568359375,False,-0.002259757967415843,-0.0022623150734716615,False,4415.0
ETB,2020-02-11,252.0,False,0.0,0.0,False,252.0
Ecopetrol,2020-02-11,1479.9791259765625,False,0.023328000048617348,0.02306006123853969,False,3290.0
Grupo Bolivar,2020-02-11,63219.8359375,False,0.007395553132137689,0.00736834011690859,False,82000.0
Mineros SA,2020-02-11,3004.375244140625,False,0.0015722816143730611,0.0015710468737062122,False,3185.0
Nutresa,2020-02-11,20165.51953125,False,0.005454126353781064,0.005439306468569633,False,23065.05859375
Promigas,2020-02-11,4646.40966796875,False,0.0025705242687390495,0.002567226121999397,False,7800.0
Banco Davivienda PF,2020-02-12,38895.5078125,False,-0.003021199460441437,-0.003025772496556844,False,46200.0
Banco de Bogota,2020-02-12,54020.32421875,False,0.0,0.0,False,81326.3046875
Celsia,2020-02-12,2842.26171875,False,0.0056626652042599535,0.005646692585677981,False,4440.0
ETB,2020-02-12,252.0,False,0.0,0.0,False,252.0
Ecopetrol,2020-02-12,1518.2159423828125,False,0.025836051154450868,0.0255079397836833,False,3375.0
Grupo Bolivar,2020-02-12,63219.8359375,False,0.0,0.0,False,82000.0
Mineros SA,2020-02-12,3004.375244140625,False,0.0,0.0,False,3185.0
Nutresa,2020-02-12,20311.2890625,False,0.0072286524046210054,0.007202650925405957,False,23231.794921875
Promigas,2020-02-12,4646.40966796875,False,0.0,0.0,False,7800.0
