empresa,fecha,rendimiento,metodo,motivo
Promigas,2023-07-12,0.0711846838502289,z_score,|z| = 3.49 > 3.0
Promigas,2023-12-27,0.06570871858622136,z_score,|z| = 3.22 > 3.0
Promigas,2024-01-19,-0.05770825827876046,percentil,valor < percentil 1%
Promigas,2024-05-03,-0.25782896381013154,z_score,|z| = -12.67 > 3.0
Promigas,2024-05-06,0.2653763235326037,z_score,|z| = 13.03 > 3.0
Promigas,2024-06-21,-0.07109591308860923,z_score,|z| = -3.50 > 3.0
Promigas,2024-06-24,0.06124346465661436,z_score,|z| = 3.00 > 3.0
Promigas,2024-10-30,-0.06713935310077022,z_score,|z| = -3.30 > 3.0
Promigas,2024-10-31,0.06713935310077031,z_score,|z| = 3.29 > 3.0
Promigas,2024-11-25,0.05575003834363456,percentil,valor > percentil 99%
Promigas,2026-03-05,0.07787891307208832,z_score,|z| = 3.82 > 3.0
Promigas,2026-06-01,0.06222842368278751,z_score,|z| = 3.05 > 3.0
